*,Astronomical Low Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Freezing Fog,Frost/Freeze,Funnel Cloud,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind,Hurricane,Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Dense Fog,Marine Hail,Marine High Wind,Marine Lightning,Marine Strong Wind,Marine Thunderstorm Wind,Marine Tropical Storm,Rip Current,Seiche,Sleet,Sneakerwave,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Waterspout,Wildfire,Winter Storm,Winter Weather,
Heavy Rain,_,_,9.998820338252712e-12,1.3687390268264708e-54,6.273249100969731e-14,5.398529120362607e-75,1.243720632772097e-07,_,3.508847344434799e-27,2.889244067464511e-86,8.876001352712455e-06,_,_,0.0,7.028933856949378e-266,_,_,1.693879362477003e-09,2.2081052861414215e-38,2.4490146404861443e-08,*,_,2.7628333989340875e-09,4.6407886365029315e-64,4.526430567641362e-55,1.1395703757284672e-172,1.3126889125579624e-208,2.5299334371941955e-18,0.0,_,_,_,_,3.1779076570854815e-05,1.7764004188848351e-28,_,_,3.1558518299240467e-06,_,_,_,0.0,0.0,0.0,3.596799330459922e-07,1.5337799280618575e-103,_,2.5855044647281886e-05,4.7618437499171145e-122,2.126326924036246e-31,_,
Heavy Snow,_,_,2.1588440238040168e-10,5.471247657773425e-53,8.460222126972446e-17,1.253347444050457e-73,1.5386755452478324e-09,_,2.474952436192666e-37,2.4647114232273253e-80,_,_,_,0.0,0.0,_,_,1.1005072399256234e-10,1.4120431158275758e-47,1.357002110776098e-09,_,*,7.827368298583554e-11,1.346631826941929e-79,4.4410433928120985e-50,6.982577218633907e-198,4.679715406802838e-234,1.9647239640436056e-16,0.0,_,_,_,_,_,5.4497467775077775e-34,_,_,1.3639206354083927e-05,_,_,_,0.0,0.0,0.0,1.8003307577289983e-06,5.17915799715115e-101,_,5.461430585474279e-06,3.3491477130443836e-135,3.5967628409593634e-36,5.047184099250563e-06,
High Surf,_,_,9.134503884895212e-22,2.1791525071144055e-68,_,8.623525974305248e-88,_,_,_,2.1015651780797681e-168,2.71485270789713e-21,_,2.8210020887824074e-08,4.13782666384049e-163,1.369975892155184e-121,1.0224508528491239e-05,9.266977451557426e-07,_,1.156497642129866e-29,_,2.7628333989340875e-09,7.827368298583554e-11,*,6.468858100002798e-42,6.413809941623554e-165,2.6428448984532942e-110,2.849550222839228e-138,4.702489959136909e-86,0.0,2.814492851390219e-28,_,_,6.246382421134652e-12,2.7680866021648763e-27,_,_,_,6.608204674442958e-34,3.7621180199671034e-21,_,1.1426461956414751e-14,0.0,0.0,1.7289031983654257e-225,7.983587226698796e-42,6.089928576711751e-127,_,_,3.2006109734108615e-87,5.975731827774832e-28,4.2248596607117475e-07,
High Wind,2.776132964696227e-07,_,5.3354227792656445e-09,6.692792483654725e-08,3.929340599990144e-71,2.0407881176523318e-14,9.811979324113678e-48,_,4.782823501545519e-202,6.989316160399988e-23,_,5.6319729654171624e-15,5.319419631994112e-55,3.636008844568779e-276,1.1131686770012926e-139,_,1.5280480822558366e-25,1.0686294619225343e-35,3.8679031547947204e-18,2.900165715685189e-35,4.6407886365029315e-64,1.346631826941929e-79,6.468858100002798e-42,*,6.308807929101474e-15,5.1184257059494356e-51,7.745810122827389e-69,_,0.0,_,_,_,_,_,2.6012081661749036e-133,_,4.173875462234181e-08,_,_,_,_,0.0,0.0,0.0,_,1.7584014837563455e-25,_,4.191391807574862e-20,1.1193599435881221e-26,1.154377552113838e-15,1.389741000258337e-165,
Hurricane,2.115182338703791e-35,2.7762651378743885e-19,4.257025522095463e-24,1.365582105374698e-06,2.089805273014853e-208,_,6.11219300554475e-127,_,1.5221548567294324e-222,_,4.533202421897799e-15,5.037716497123139e-69,1.6765022330368463e-58,_,9.949696899732259e-06,4.629770805118027e-16,6.903111022113139e-55,9.441674602281386e-186,5.214888548386533e-21,1.9521467800332195e-153,4.526430567641362e-55,4.4410433928120985e-50,6.413809941623554e-165,6.308807929101474e-15,*,_,_,_,_,_,1.8615684229701806e-16,1.09751995574205e-10,_,_,0.0,_,1.2888922414384337e-39,_,1.2484200973910857e-10,_,_,_,_,_,_,_,_,6.4401596956914e-97,3.818619638967831e-06,9.03447232498544e-22,3.642864674972376e-74,
Ice Storm,8.040318929090089e-21,4.0999632235553045e-12,1.1811460932325945e-57,_,7.596439139951251e-181,_,2.0882573248793754e-127,_,0.0,8.124361033315952e-06,1.0132411106581067e-13,4.582949807265892e-43,4.00294013817874e-154,_,_,1.2289470637044955e-10,4.476207791293054e-82,2.6594128697609303e-93,9.48993895345488e-101,1.3355274869388417e-93,1.1395703757284672e-172,6.982577218633907e-198,2.6428448984532942e-110,5.1184257059494356e-51,_,*,_,_,1.0070808905849147e-81,_,1.4370533209537434e-09,5.876032564881864e-06,_,_,0.0,_,3.5742917958847735e-23,_,1.1456423877057248e-06,_,_,1.4823420193805947e-281,1.7012222408658848e-19,3.376795240131459e-13,_,_,_,1.6453464464151058e-55,_,1.0488041287560947e-93,0.0,
Lake-Effect Snow,8.977531224231833e-28,6.930806647477484e-17,1.2053924245069455e-75,5.145957115446045e-07,6.820769337378944e-226,_,2.690662072304097e-159,_,0.0,_,1.3330058036613434e-20,2.6877661369170516e-55,1.6021567028111744e-188,_,3.931983639099234e-09,2.7192166402913577e-15,7.726105282268926e-104,4.422756146563041e-117,5.328611842117085e-122,1.658665959482348e-117,1.3126889125579624e-208,4.679715406802838e-234,2.849550222839228e-138,7.745810122827389e-69,_,_,*,_,1.2819718889196094e-38,_,3.1159574738547623e-13,1.0089199175630378e-08,_,_,0.0,_,1.033905206962799e-30,_,1.365232420762833e-10,_,_,1.7281737759742725e-203,_,_,_,_,_,1.9286302540978527e-70,3.8119534897414014e-08,2.2248219203208766e-115,0.0,
Lakeshore Flood,2.1942188072781544e-25,1.6581954484922733e-11,2.4351165394440004e-08,_,1.2800818988522827e-90,_,2.2994630277177243e-52,_,4.186331506756061e-76,_,3.950796341882855e-06,4.371213658415235e-42,9.44384729461094e-20,_,_,2.6034717719055577e-08,2.994997667980128e-20,5.428529314643219e-136,5.035703825833459e-07,4.1237597232310974e-88,2.5299334371941955e-18,1.9647239640436056e-16,4.702489959136909e-86,_,_,_,_,*,_,_,2.0926348139925534e-11,6.866759146582931e-06,_,_,3.171880632281746e-168,_,1.7208724490257557e-28,_,_,_,_,_,_,_,_,_,_,5.6237897374748906e-64,_,2.697149214092908e-07,5.617050391222536e-24,
Lightning,1.5687136621668585e-109,7.664336868234114e-72,0.0,2.1442941178790353e-65,0.0,3.3359022067590196e-42,0.0,_,0.0,_,1.948180290927648e-102,2.7372015016700397e-191,0.0,1.2978178819807897e-180,7.311058585057037e-219,1.053164693763233e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,_,1.0070808905849147e-81,1.2819718889196094e-38,_,*,_,8.915472092606504e-55,2.469670438218218e-39,_,6.364533728709638e-06,0.0,2.0122121340839908e-05,2.3205440933581984e-119,_,1.1239460630601903e-55,1.687035837698941e-08,_,1.0783428301341114e-65,7.624221222969255e-74,2.118659559438935e-63,_,9.647771990706311e-12,1.8504109848461124e-06,1.2376120831038757e-226,1.0125324234679226e-104,0.0,0.0,
Marine Dense Fog,1.6902591024339334e-14,_,_,_,1.6958518716681456e-25,_,1.507523544662933e-14,_,8.909105366010349e-19,_,_,4.196625250588193e-17,2.2957977137345247e-05,_,_,_,1.0695933223153546e-05,4.118701404579983e-76,_,3.177828964391362e-32,_,_,2.814492851390219e-28,_,_,_,_,_,_,*,1.1883538879220162e-06,_,_,_,1.5473226581281967e-46,_,3.098540062068604e-16,_,_,_,_,_,_,_,_,_,_,3.964738976475486e-29,_,_,2.8661468520681265e-06,
